ID,Name,Tags,Faculty,School,CourseOutline,Campus,Career,UoC,EFTSL,ICHPW,Prereq,Excluded,CSSCC,GenEd,Description,,,,Enjoy,Difficult,Skip
COMP6714,Information Retrieval and Web Search,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs6714"">http://www.cse.unsw.edu.au/~cs6714</a>""",Sydney,Undergraduate,6,0.125,3,MATH1081 and COMP2041,,2,,,,,,,,,
COMP6733,Internet of Things Experimental Design Studio,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs6733'>www.cse.unsw.edu.au/~cs6733</a>,Sydney,Undergraduate,6,0.125,5,65 WAM and COMP3331,"COMP4335, COMP9335",2,,,,,,,,,
COMP6741,Parameterized and Exact Computation,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs6741"">http://www.cse.unsw.edu.au/~cs6741</a>""",Sydney,Undergraduate,6,0.125,3,COMP3121 or COMP3821.,,2,,,,,,,,,
COMP6771,Advanced C++ Programming,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs6771"">http://www.cse.unsw.edu.au/~cs6771</a>""",Sydney,Undergraduate,6,0.125,4,COMP2511 or COMP2911,"COMP3171, COMP9171",2,,,,,,,,,
COMP6841,Extended Security Engineering and Cyber Security,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs6841"">http://www.cse.unsw.edu.au/~cs6841</a>""",Sydney,Undergraduate,6,0.125,5,"Completion of 48 UOC, and COMP1927 or COMP2521","COMP3441, COMP6441, COMP9441",2,Yes,,,,,,,,
COMP6843,Extended Web Application Security and Testing,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs6843"">http://www.cse.unsw.edu.au/~cs6843</a>""",Sydney,Undergraduate,6,0.125,6,COMP6441 or COMP6841 or COMP3441 or COMP9321,COMP6443,2,,,,,,,,,
COMP6845,Extended Digital Forensics and Incident Response,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering'>School</a>,Sydney,Undergraduate,6,0.125,6,"COMP3441 or COMP6441 or COMP6841, and COMP3231 or COMP3891",COMP6445,2,,,,,,,,,
COMP9020,Foundations of Computer Science,,,,,,,,,,,,,,,,,,,,
COMP9021,Principles of Programming,,,,,,,,,,,,,,,,,,,,
COMP9024,Data Structures and Algorithms,,,,,,,,,,,,,,,,,,,,
COMP9032,Microprocessors and Interfacing,,,,,,,,,,,,,,,,,,,,
COMP9041,Software Construction: Techniques and Tools,,,,,,,,,,,,,,,,,,,,
COMP9101,Design and Analysis of Algorithms,,,,,,,,,,,,,,,,,,,,
COMP9102,Programming Languages and Compilers,,,,,,,,,,,,,,,,,,,,
COMP9151,Foundations of Concurrency,,,,,,,,,,,,,,,,,,,,
COMP9153,Algorithmic Verification,,,,,,,,,,,,,,,,,,,,
COMP9161,Concepts of Programming Languages,,,,,,,,,,,,,,,,,,,,
COMP9181,Language-based Software Safety,,,,,,,,,,,,,,,,,,,,
COMP9201,Operating Systems,,,,,,,,,,,,,,,,,,,,
COMP9211,Computer Architecture,,,,,,,,,,,,,,,,,,,,
COMP9222,Digital Circuits and Systems,,,,,,,,,,,,,,,,,,,,
COMP9242,Advanced Operating Systems,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9242'>www.cse.unsw.edu.au/~cs9242</a>,Sydney,Undergraduate,6,0.125,4,a mark of at least 75 in either COMP3231 or COMP3891.,,2,,,,,,,,,
COMP9243,Distributed Systems,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9243'>www.cse.unsw.edu.au/~cs9243</a>,Sydney,Undergraduate,6,0.125,3,[COMP3231 or COMP3891] and [COMP3331 or TELE3018].,,2,,,,,,,,,
COMP9283,Extended Operating Systems,,,,,,,,,,,,,,,,,,,,
COMP9311,Database Systems,,,,,,,,,,,,,,,,,,,,
COMP9313,Big Data Management,,,,,,,,,,,,,,,,,,,,
