"COMP1000","Introduction to World Wide Web, Spreadsheets and Databases","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1000'>http://www.cse.unsw.edu.au/~cs1000</a>","Sydney","Undergraduate","6","0.12500","0","","COMP0011, GENE8000","2","Yes"," <b>Note(s)</b>: This course is available as General Education and can therefore not be taken by students enrolled in an Engineering program.<br /><br />World wide web (WWW) dependent activities have become an essential part of our existence and yet many of us do not know much about how they work. In the first part of this course, we introduce the abstract features of the internet and the software that makes it so powerful. Knowledge about the architecture of the internet, world wide web, browsers, search engines, e-commerce, security, etc. will be helpful in using the internet more effectively as well as becoming aware of the several pitfalls associated with this modern technology.<br /><br />Spreadsheets and databases are two of the most commonly used and powerful computer tools yet they are often poorly utilised and the reasons for using one rather than the other are poorly understood. Many people purchase Microsoft Office which comes bundled with Microsoft Excel and Microsoft Access - a spreadsheet and a database application - yet while many people have some familiarity with Microsoft Excel, Microsoft Access is rarely utilised. This course aims to explain in straightforward terms the concepts underlying both of these powerful pieces of software so that students can exploit them effectively for both their studies and future careers. We will investigate how to design and implement effective spreadsheet and database applications. Students should also be able to transfer these skills to other similar spreadsheet and database packages. <br /><br />Lab access will be provided, however students will be expected to have personal copies of Microsoft Excel and Microsoft Access on their own computers."
"COMP1400","Programming for Designers","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1400'>www.cse.unsw.edu.au/~cs1400</a>","Sydney","Undergraduate","6","0.12500","3"," Enrolment in a non-CSE program.","INFS1609, INFS2609","2","Yes"," An introduction to the concepts and techniques of object oriented programming with a focus on the construction of interactive multimedia applications. Delivery is through lectures and computer lab classes. Assessment will be via a number of in-class exercises and staged assignments."
"COMP1511","Introduction to Programming","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering/courses-programs/undergraduate'>Refer to the School's website</a>","Sydney","Undergraduate","6","0.12500","7","","","2","Yes"," An introduction to problem-solving via programming, which aims to have students develop proficiency in using a high level programming language. Topics: algorithms, program structures (statements, sequence, selection, iteration, functions), data types (numeric, character), data structures (arrays, tuples, pointers, lists), storage structures (memory, addresses), introduction to analysis of algorithms, testing, code quality, teamwork, and reflective practice. The course includes extensive practical work in labs and programming projects."
"COMP1521","Computer Systems Fundamentals","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering/courses-programs/course-offerings'>School website</a>","Sydney","Undergraduate","6","0.12500","6","COMP1511 or COMP1911 or COMP1917","","2","Yes"," This course provides a programmer's view on how a computer system executes programs, manipulates data and communicates. It enables students to become effective programmers in dealing with issues of performance, portability, and robustness. It is typically taken in the semester after completing COMP1511, but could be delayed and taken later. It serves as a foundation for later courses on networks, operating systems, computer architecture and compilers, where a deeper understanding of systems-level issues is required.<br /><br /><b>Topics:</b><br />Introduction to the systems-level view of computing, number representation, machine-level programming, representing high-level programs in machine code, memory, input/output, system architectures, operating systems, networks, parallelism/concurrency, communication/synchronisation. Labs and assignment work in C and machine code."
"COMP1531","Software Engineering Fundamentals","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering'>School</a>","Sydney","Undergraduate","6","0.12500","7","COMP1511 or COMP1917 or COMP1921","SENG1010, SENG1020, SENG1031","2","Yes"," This course provides an introduction to software engineering principles: basic software lifecycle concepts, modern development methodologies, conceptual modeling and how these activities relate to programming. It also introduces the basic notions of team-based project management via conducting a project to design, build and deploy a simple web-based application. It is typically taken in the semester after completing COMP1511, but could be delayed and taken later. It provides essential background for the teamwork and project management required in many later courses.<br /><br />The goal of this course is to expose the students to:"
"COMP1911","Computing 1A","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1911'>www.cse.unsw.edu.au/~cs1911</a>","Sydney","Undergraduate","6","0.12500","6"," Enrolment in a non-CSE program.","","2","Yes"," <b> note: </b>An exclusion exists between COMP1911 and COMP1917.<br /><br />The objective of this course is for students to develop proficiency in programming using a high level language. Topics covered include: fundamental programming concepts, program testing and debugging, the underlying memory representation of data, programming style. Practical experience of these topics is supplied by laboratory programming exercises and assignments."
"COMP1927","Computing 2","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1927'>www.cse.unsw.edu.au/~cs1927</a>","Sydney","Undergraduate","6","0.12500","6","COMP1917 or COMP1921.","","2","Yes"," Programming in the large, abstraction and ADTs, interfaces, complexity. Data types and data structures: lists, trees, graphs; and associated algorithms. Programming assignments, laboratory exercises, formal examination. Preparation work may be available for interested students before the course starts (see course outline for details)."
"COMP2041","Software Construction: Techniques and Tools","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs2041'>www.cse.unsw.edu.au/~cs2041</a>","Sydney","Undergraduate","6","0.12500","5","COMP1511 or COMP1917 or COMP1921","COMP9041","2",""," Software system decomposition and design. Overview of the software development life-cycle. Command languages. Version control and configuration management, programming for reliability. Testing and debugging techniques. Profiling and code improvement techniques. Practical work involving programming-in-the-large."
"COMP2111","System Modelling and Design","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs2111'>www.cse.unsw.edu.au/~cs2111</a>","Sydney","Undergraduate","6","0.12500","4","MATH1081, and COMP1511 or COMP1917 or COMP1911","","2",""," This course introduces rigorous and formal methods for modelling system behaviour. These methods support the modelling of abstract specifications and the refinement of abstract specifications through to concrete implementations. Consistency of formal development is verified by proof obligations and formal proof. The course will cover: specification, refinement, implementation, proof obligations and proof. It builds on prerequisite knowledge from MATH1081, especially set theory and predicate logic. The course will use case-studies and assignments to develop competence. The methods developed in this course may be used in the SENG2010 and SENG2020 workshops."
"COMP2121","Microprocessors and Interfacing","<a href="/faculties/2017/eng/eng.html">Faculty of Engineering</a>","<a href="http://www.cse.unsw.edu.au/">School of Computer Science and Engineering</a>","<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs2121'>www.cse.unsw.edu.au/~cs2121</a>","Sydney","Undergraduate","6","0.12500","5","COMP1917 or COMP1921 or COMP1511 or COMP1521, or (COMP1911 and MTRN2500)","ELEC2142, MTRN3200","2",""," Instruction Set Architecture (ISA), Floating point number representation, computer arithmetic, assembly and machine language programming, machine language fundamentals; addressing modes; instruction repertoire, assembly language programming methodology, interrupts and I/O interfacing (hardware and software), serial communication, timers, analog input and output, converting analog signals to digital signals (data acquisition), taking input from a variety of sensors and driving actuators, buses and memory system, low level device drivers."
